date,gvkey,weight
2026-03-01,FAST,0.00392156862745098
2026-03-01,BK,0.00392156862745098
2026-03-01,HSBC,0.00392156862745098
2026-03-01,CSX,0.00392156862745098
2026-03-01,AXP,0.00392156862745098
2026-03-01,JCI,0.00392156862745098
2026-03-01,LVS,0.00392156862745098
2026-03-01,BAC,0.00392156862745098
2026-03-01,BABA,0.00392156862745098
2026-03-01,BAM,0.00392156862745098
2026-03-01,MET,0.00392156862745098
2026-03-01,DB,0.00392156862745098
2026-03-01,BA,0.00392156862745098
2026-03-01,CM,0.00392156862745098
2026-03-01,MFG,0.00392156862745098
2026-03-01,BE,0.00392156862745098
2026-03-01,KB,0.00392156862745098
2026-03-01,AEM,0.00392156862745098
2026-03-01,FTI,0.00392156862745098
2026-03-01,KGC,0.00392156862745098
2026-03-01,GFI,0.00392156862745098
2026-03-01,CCJ,0.00392156862745098
2026-03-01,DOW,0.00392156862745098
2026-03-01,B,0.00392156862745098
2026-03-01,FNV,0.00392156862745098
2026-03-01,E,0.00392156862745098
2026-03-01,EC,0.00392156862745098
2026-03-01,ET,0.00392156862745098
2026-03-01,CQP,0.00392156862745098
2026-03-01,DLR,0.00392156862745098
2026-03-01,BP,0.00392156862745098
2026-03-01,EQT,0.00392156862745098
2026-03-01,CTRA,0.00392156862745098
2026-03-01,KMI,0.00392156862745098
2026-03-01,IRM,0.00392156862745098
2026-03-01,EXR,0.00392156862745098
2026-03-01,CVE,0.00392156862745098
2026-03-01,CVX,0.00392156862745098
2026-03-01,EQNR,0.00392156862745098
2026-03-01,CNQ,0.00392156862745098
2026-03-01,AMRZ,0.00392156862745098
2026-03-01,MPLX,0.00392156862745098
2026-03-01,HAL,0.00392156862745098
2026-03-01,ENB,0.00392156862745098
2026-03-01,BKR,0.00392156862745098
2026-03-01,CBRE,0.00392156862745098
2026-03-01,EPD,0.00392156862745098
2026-03-01,AMT,0.00392156862745098
2026-03-01,CTVA,0.00392156862745098
2026-03-01,MLM,0.00392156862745098
2026-03-01,LNG,0.00392156862745098
2026-03-01,CCI,0.00392156862745098
2026-03-01,MPC,0.00392156862745098
2026-03-01,COP,0.00392156862745098
2026-03-01,DVN,0.00392156862745098
2026-03-01,FCX,0.00392156862745098
2026-03-01,APD,0.00392156862745098
2026-03-01,ECL,0.00392156862745098
